Feature,Coefficient,Absolute Coefficient
cat__IPReputation_Suspicious,-6.936251454723486,6.936251454723486
cat__IsNewDevice_Yes,-5.616352280261849,5.616352280261849
cat__PaymentMethod_UPI,-5.59871717583024,5.59871717583024
cat__MerchantCategory_Restaurant,-5.454396896163017,5.454396896163017
num__RiskScore,5.271346043928162,5.271346043928162
cat__CustomerRegion_West,-4.543990958950059,4.543990958950059
cat__DayOfWeek_Wed,-4.356282354562168,4.356282354562168
cat__DayOfWeek_Fri,-3.935795165463249,3.935795165463249
cat__DeviceType_Mobile,-3.690339398090004,3.690339398090004
cat__TransactionType_POS,-3.471358328407663,3.471358328407663
cat__CardType_Amex,-3.0846574755647893,3.0846574755647893
cat__CustomerGender_Male,-2.901448391042809,2.901448391042809
cat__TransactionType_Transfer,-2.6914752953050556,2.6914752953050556
cat__PaymentMethod_Credit Card,2.5127606342622912,2.5127606342622912
cat__IsInternational_No,-2.4221587978832604,2.4221587978832604
cat__IsInternational_Yes,-2.4047001245778596,2.4047001245778596
cat__DayOfWeek_Sun,2.2517239544066405,2.2517239544066405
cat__MerchantCategory_Fashion,2.1211932572585073,2.1211932572585073
cat__MerchantCategory_Healthcare,-2.0952356503133256,2.0952356503133256
cat__CardType_Mastercard,-2.0549833813502008,2.0549833813502008
cat__CustomerGender_Female,-1.925410531416703,1.925410531416703
cat__PaymentMethod_Debit Card,-1.8988764189923866,1.8988764189923866
num__TransactionTime,-1.6056655457622597,1.6056655457622597
cat__TransactionType_ATM,1.5799508024475193,1.5799508024475193
cat__DayOfWeek_Thu,1.3188366706161256,1.3188366706161256
cat__IPReputation_Good,1.169246952813382,1.169246952813382
cat__CardType_Visa,1.1398141814440352,1.1398141814440352
cat__DeviceType_Desktop,-1.1206513465064687,1.1206513465064687
cat__DayOfWeek_Mon,0.9787603303587892,0.9787603303587892
cat__IPReputation_Blacklisted,0.9401455794489844,0.9401455794489844
cat__MerchantCategory_Grocery,0.8270375384863771,0.8270375384863771
cat__CardType_RuPay,-0.8270322469891819,0.8270322469891819
cat__IsNewDevice_No,0.7894933577999311,0.7894933577999311
num__HourOfDay,0.6395482549201768,0.6395482549201768
cat__DayOfWeek_Tue,-0.5607286647317508,0.5607286647317508
cat__DayOfWeek_Sat,-0.5233736930847649,0.5233736930847649
num__AccountAgeMonths,0.4107242032051513,0.4107242032051513
num__BalanceBefore,0.3893388374976002,0.3893388374976002
num__BalanceAfter,0.3889548485573742,0.3889548485573742
num__FailedLoginAttempts,0.3813277768370009,0.3813277768370009
num__CustomerAge,0.36595310414841353,0.36595310414841353
cat__MerchantCategory_Electronics,-0.33006955689443296,0.33006955689443296
cat__MerchantCategory_Fuel,0.3101176271804946,0.3101176271804946
cat__TransactionType_Online,-0.24397610119482166,0.24397610119482166
cat__MerchantCategory_Travel,-0.20550524201505427,0.20550524201505427
num__TransactionAmount,0.18470203023029003,0.18470203023029003
cat__PaymentMethod_Wallet,0.15797403810007715,0.15797403810007715
cat__CustomerRegion_South,-0.14670583334918866,0.14670583334918866
cat__CustomerRegion_East,-0.1088013259944134,0.1088013259944134
num__AverageTransactionAmount,-0.09254631402351898,0.09254631402351898
num__DistanceFromHomeKM,0.0806443517484266,0.0806443517484266
num__PreviousTransactions24h,0.06450004429551638,0.06450004429551638
cat__CustomerRegion_North,-0.027360804166443282,0.027360804166443282
cat__DeviceType_Tablet,-0.015868177862602143,0.015868177862602143
